epoch,train_ppl,valid_ppl
1,366.6375,141.5030
2,99.9180,79.1240
3,69.6528,63.9771
4,58.6505,57.5716
5,52.4149,54.5436
6,48.1050,52.1452
7,44.7797,50.0489
8,41.8683,49.1042
9,39.5007,48.4621
10,37.1989,48.1508
11,35.3711,47.7822
12,33.6774,47.6383
13,32.1392,47.9197
14,26.9261,45.3517
15,25.3992,45.2515
16,24.3756,45.1924
17,23.8098,45.3469
18,22.4786,45.1492
19,22.1541,45.1820
20,21.7492,45.0561
21,21.6801,45.0612
22,21.6820,45.0381
23,21.5301,45.0328
24,21.5714,45.0285
25,21.4989,45.0318
26,21.5714,45.0316
27,21.5201,45.0317
28,21.5034,45.0318
29,21.5068,45.0319
30,21.4641,45.0319
31,21.5254,45.0319
32,21.4322,45.0319
33,21.4836,45.0319
34,21.5202,45.0319
35,21.4901,45.0319
36,21.5034,45.0319
37,21.5107,45.0319
38,21.5180,45.0319
39,21.5543,45.0319
40,21.4709,45.0319
test,,42.5432
